OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"10032",0,18134,Duiven,Duiven,"Dorth tot Medlerstraat,","43", ,6921AW,6921AW43,Bij,koetshuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1900", , , , ,197921,439925,,Biotoop,
"10163",14184,20041,Duiven,Loo,Loowaard,"1", ,6924SG,6924SG1, ,buitenplaats,woonfunctie,rijksmonument,hoge kwaliteit, ,"1550","1575", , , ,196381,437270,,Biotoop,
"12308",0,18133,Duiven,Loo,Loowaard,"1", ,6924SG,6924SG1, ,vloedschuur,agrarische functie,gemeentelijk monument,middenkwaliteit, ,"1825","1850", , , ,196381,437270,,Biotoop,
"17125",47010,22438,Westervoort,Westervoort,N.v.t., , ,6930AA,6930AA, ,schans,defensiefunctie,rijksmonument,hoge kwaliteit, ,"1760", , , , ,195100,439465,,Biotoop,
"15102",14183,20040,Duiven,Loo,Loostraat,"35", ,6924AC,6924AC35, ,kerk,religieuze functie,rijksmonument,hoge kwaliteit, ,"1878", , , , ,196561,438165,,Biotoop,
"143",0,17058,Lingewaard,Huissen,"Loostraat, Korte","9", ,6851MX,6851MX9, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1930", , , , ,192954,439218,,Biotoop,
"173",0,17256,Lingewaard,Haalderen,"Hoek, De","3", ,6685BD,6685BD3, ,landarbeiderswoning,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1912", , , , ,192765,432815,,Biotoop,
"350",0,5040,Arnhem,Arnhem,"Wagenaarstraat, Doctor","32", ,6823EP,6823EP32, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,9-12-1997,"1920","1923", , , ,192951,445967,,Biotoop,
"629",0,4166,Arnhem,Arnhem,Reigerstraat,"11", ,6823EA,6823EA11, ,school,maatschappelijke functie,gemeentelijk monument,middenkwaliteit,15-6-1999,"1929", , , , ,192592,446458,,Biotoop,
"637",0,4338,Arnhem,Arnhem,Rosendaalseweg,"603", ,6824KL,6824KL603, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192935,445724,,Biotoop,
